bag_query,title,sold_price,sold_date,listing_url,scraped_at
Bottega Veneta Pouch,"BOTTEGA VENETA Shoulder Bag Intrecciato Leather Pink Authentic
Opens in a new window or tab",1539.0,"Sep 3, 2024",https://www.ebay.com/itm/315290103553?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D1HPRSF8981QP7A7R4RYP&hash=item4968c12f01%3Ag%3Ar3UAAOSwZ6JnCuCI&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBleOO146PHaME4tml%2BVUcpJ1kHknvGcikAZmZKQ3UyAnmEwsAHxYyFWZARsdU9IBYw7CFy4Xq1QujpKMU4a6N4JmRwBiCKAmpXpx7beMZJMqkHxxD%2FnrLQoUh57Ni7FIth6Yo9ZJCZfez9TjNFbDszAw2KTn%2B4d0GqYcWIlzFME0l93aFF%2BVm1CMjrFo6cTlEH5MUdqlzFAkc6ht0pWTIzuOGVsfBcz5n60i65BbayJeX18CMsmnQeKCHV5R18JpbQvmpi6lCIeYdUiMTfWHKNPanYHeJZp2kKdGYhNKGhSw%3D%3D%7Ctkp%3ABk9SR8qbhq2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Pouch Makeup Case Leather Bordeaux Authentic Used From Japan
Opens in a new window or tab",272.81,"Nov 30, 2025",https://www.ebay.com/itm/397284574836?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D2C3WNJAC9F66QQ8JSTJQ&hash=item5c80018674%3Ag%3At2wAAeSwY9xpHDC%7E&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDKMeT4Ff4GYeJRn1yvIYASMttgC%2ByK8k6V9UTDesV3d0MbFrNDLU5Q3nqh8%2BXQDJsdASmXCzRC4WVmqocBJ1W2OzZ2Cr9PRKEX2OQRDnpDem%2BWFu6LK2l7fNbLtcum%2BETStSj7RB90OdtiALQ5VN4%2B7PYiFdCtJ6XJ%2BFuy%2Bt1JlUWi%2Fkgw8zBlBV6eeoBnIDc%2F1pwNsR8QSpsenSVUsfxEnTdDF1DlRYuAdmQ5L%2BHD5JAwAOWPmScYuCoJCpFVBog%3D%7Ctkp%3ABk9SR4rCia2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D2Q954NG6TP7V0VRAQ6AM&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB7euUvU%2B6YgWBthvkz3YHOuj0UqH0%2FvXIrIVbUrQ3p%2BHAMZ%2F1BZ8mB7H%2Fkyc%2FwU0n2CnFj251hktuLzj6VnAQWcnK8fmbtM3hWDN6576Acwu0QHJoZEYDnJDXb86EQfBGU4988cjYC4bmZA4uJi6gX4ahwfafqaOkj4ns6Vde6nt%2B3DJNznG5BcdVWy152i4XMr1xlU2nP31O9jJezs2ougiXuTmZCZyiXLX4XpiQ%2FiiM97AXAONcmoGD2WefnaLk%3D%7Ctkp%3ABk9SR9j0iq2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D30PW78EX2366W9MV36ED&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB7euUvU%2B6YgWBthvkz3YHOuj0UqH0%2FvXIrIVbUrQ3p%2BAJY9mEt1W7PHhmIshvcD4STCc4NdeP8OMZWCJLdhpTsEtYjkOILKTOHgQx1OwwUPFXQXscZ%2Blfc1UzumoQqJAa%2FwlKw5HEy9HigFt7VNNXkAYkYKKBFJUL8mhDLoeUgdIIm8Vi9fi5tMgJI%2Bx9uZyMTtKT5okNfDmedQQqmv6z%2F9nt%2B%2FDWVnjMiuQNEHvFcTD1Ua2GUlnp0BJNdUPIJej8%3D%7Ctkp%3ABk9SR8aLjK2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D39W1B6E34CWAGNF1G75Y&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDYr%2BprbRWkjGCIXITuw44Lf0YDRQV6J6W4D5uMs%2B58fJ%2B6WafM92OTpTRfc%2F0ASyDN1x0sYlwaiGEUMhwq9DuYlzdYiVAtH%2Byyf0dbR%2FsJWgD6idLq2tXYH42TUh%2BkMjwBrWvAFWZ--tqp67%2FvfSKz7AV0GQsR3iXRJWI3UWZHp0sKRnJUGMt9ED4IR103PESmB8p8cvdR0oZYUkJa7cftoWTRjXT2ChO052KL94uXhXwOS4L3yoj79GU2R6%2FCthhbopwjugv%2Fgoeg6itUEi0EGMr2YsqDxzH%2FG8WU4OawaQ%3D%3D%7Ctkp%3ABk9SR5Ceja2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D3MZNBE7T9Q7J472P5KXC&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDYr%2BprbRWkjGCIXITuw44Lf0YDRQV6J6W4D5uMs%2B58fJ%2B6WafM92OTpTRfc%2F0ASyDN1x0sYlwaiGEUMhwq9DuYlzdYiVAtH%2Byyf0dbR%2FsJWgD6idLq2tXYH42TUh%2BkMjwXXqPmz%2Btn%2FiR5t0Lf%2FJhcO2WJ4o%2FjVyYRV24s1Z8UL34bnxatoQzSOCSEIYB5LHMa8k%2FKyJS09hkGKwDA1oK8PajVJtNgbkIYZqDVieedW%2BWOpgZVAgUmPz0hN%2BoCMiTIIYW%2BwikR8Jmyw8H3X0EFxfnYLcPUC9NwFtlfCp%2BJiA%3D%3D%7Ctkp%3ABk9SR_zPjq2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D3YDYR30AF8YZ108QXJJ2&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB7euUvU%2B6YgWBthvkz3YHOuj0UqH0%2FvXIrIVbUrQ3p%2BL6nMjbhZkJjtBGARbQhV5b2xxMIpQlbG9tw5roeb%2FTvzkyZ4T60U4w%2FfjOuF7GNwV6K7nD%2FyLG93F3uXENqYkff1Ca4PXIEg%2B1TQEnJdsCNI8xNFaWyYf8z%2BJk6tY4iSzzhbrw3%2BHgjEw4DLF0lGJh5CPfRq32Fn3xbdhtC8Bv653wgxQQU1bdCssKZlKtt8XsU35iWs8rNkE3PHxO7cdU%3D%7Ctkp%3ABk9SR4bnj62RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D4ANFT4V9XQVKH2W74W85&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB7euUvU%2B6YgWBthvkz3YHOuj0UqH0%2FvXIrIVbUrQ3p%2BKgppG21tEKeUk1B4inL3cMzYR%2BySAR0pdJ8boFKJec0DKJVZ0H5bzhas5bhVwsGqc8oxQ1UL3DQRgUEatbi8ZckoNUDLu90qiiUlIkwqyF06zxeFym0PXTJXldOexqaUId5Vwm5i9nPryJb3j2d0A1uFetwMJTF%2BavxE5VsBS8gSjMS1c%2FcE9%2BimalFDcxq60xE03%2BfajOpi3eS%2FcaEj0o%3D%7Ctkp%3ABk9SR-qqka2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato The Pouch mini Leather bag Bordeaux w/Box
Opens in a new window or tab",785.99,"Nov 30, 2025",https://www.ebay.com/itm/286904240526?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D4NWGDYZRXCW9RNY7BD3Y&hash=item42ccd3498e%3Ag%3Aho8AAeSwiz1pAY9N&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDYr%2BprbRWkjGCIXITuw44Lf0YDRQV6J6W4D5uMs%2B58fJ%2B6WafM92OTpTRfc%2F0ASyDN1x0sYlwaiGEUMhwq9DuYlzdYiVAtH%2Byyf0dbR%2FsJWgD6idLq2tXYH42TUh%2BkMjzFJnJl34SqAeGHZpyIESQIMAhDIcZn1TdjzAcoC%2Fmxdz65udKlx9XW2rfL0w9UxYW%2BV7F2XYQejSS0MUsIKY0AWZbQXLaSHT26On6yAFmGh25b%2BP3SkXjYese%2BDYeqyPxK194BXnfvSJx19nEfsK0yWSAmcLtc%2BQsSFXlcFUMyQA%3D%3D%7Ctkp%3ABk9SR6zekq2RZw&LH_ItemCondition=3000,2026-02-23
Bottega Veneta Pouch,"VINTAGE BOTTEGA VENETA Multicolour Woven Cosmetic Pouch – Rare Piece
Opens in a new window or tab",94.35,"Nov 29, 2025",https://www.ebay.com/itm/376628700023?_skw=Bottega+Veneta+Pouch&itmmeta=01KJ5D2Q9507G67XW3PRMF78Z0&hash=item57b0d1e377%3Ag%3AeQ0AAeSwtnBo8glG&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDjLbHXN2vRFA%2FG7HzIVIM%2Ft4q9oG2zTRMSzodHGg%2B2vUTeceUrnIwCCHGmEJuCRRzgIhBuyGJQu6QhkBVejbi1H9NRF8yuaHGxhxkEW1JOlPDmun23jL%2BmmFvEoaomkg3nNrpsL3MR9D75B8fgG8xbXi79aRGyAmT0c%2BGdXeGAJC6xemv3H%2Fq91V5a9yK5cwllp1EA3ORCitgZRIxbp6jJV0vrBemfbjL365SIva5DObOjdnVgYSlFmAgylO0uLFs%3D%7Ctkp%3ABk9SR9j0iq2RZw&LH_ItemCondition=3000,2026-02-23
