bag_query,title,sold_price,sold_date,listing_url,scraped_at
Bottega Veneta Pouch,"Bottega Veneta The Pouch Black Leather Shoulder Bag Authentic with Dust Bag
Opens in a new window or tab",1295.0,2026-02-28,https://www.ebay.com/itm/365308252714?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW13E4FJXRWKNFKZNE10&hash=item550e11922a%3Ag%3AIdcAAOSwJGpmXUl8&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDCBosZEY4sqG79Awq353CEjTBebqIf1tyj4wbE25mzvv688oUdCOKh67oGwsHxpofvOluBZ8O7tqYja%2FdTPylUMbIT7JLNXIiXPQcBlhZOA%2FZoN1FoGxNa3HMZvuq7zAWt9%2FGRS946w83K5InOg2qPgF5Gz9GjrtGHaTgdyNGL0MwtM8WurIW28l97Prh97ztB2V1Pu6vU%2Br6iNsvU7KT6p9VxJ%2FNWWD%2Bm9HB4%2Bgvx0GNTNV6w7W3pGHNJnY0M0Tu3EcCNBlJNyKEpks2tS46eIvfarJKR9BfXjJ9i6hfvCQ%3D%3D%7Ctkp%3ABk9SR9rAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Authentic Bottega Veneta Intrecciato Leather Hobo Bag W/ Pouch
Opens in a new window or tab",1199.99,2026-02-27,https://www.ebay.com/itm/389649188517?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW1318B52FRE6NEF0TEH&hash=item5ab8e6c6a5%3Ag%3A7icAAeSwXLtpmMow&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCZntKfrepDI5GhZiUA6pc%2BiVtXs72ggEKp7CdqB85HNZVsT2uuXqGeQL4ap%2BsTcVY1LYxBMSY6W9VWxPdmkjsR2qXr56iZi6FfiigXeyKR5JY1EOTQtgLxAKSJ6FlSphCsMHu0u0Pfn9FDdpMc0zoDWXxJGCHiioV1d6O3J9p%2FTDDu36adlJ%2FXH3xshMyiDqf4BM5dHJFIL5eKHNpHqieI6yv9Vg7h57iVsd7INWERUBH7qgJcF8TXntdkqarLrG8%3D%7Ctkp%3ABk9SR9zAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta Jodie
Opens in a new window or tab",1600.0,2026-02-26,https://www.ebay.com/itm/358084717748?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW13J2PN9M35ZXSQWQJR&hash=item535f832cb4%3Ag%3Av7YAAeSwp6NpWyZw&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD7scNAZ8Ay%2BrHTw0rj17AZfwSCCNdCRwRmrRj0NwvMYdgsRVLvOPhNAMPXKPi7kxPI%2BXcqPJez4kc6bBsW7lY0KluvEyNuFwFWgVvGfDJAVl0tGX9uLU3kYNu4Udp3YrbMCeGH410weKH09TMDktaTR%2BgAoVQy802uXy1w4qOYcLKLqiMeYsic6kq1NgeZqcSF7wo3PUa6jrslkFnv%2FWv21vUqCRgIfmE8Isjemhx7nUJkoFGl62YNzCdzlyqDdeg%3D%7Ctkp%3ABk9SR9zAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta The Pouch Leather Black
Opens in a new window or tab",1500.0,2026-02-22,https://www.ebay.com/itm/175589469067?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW13W9V9AP8Z37JTC70T&hash=item28e1f2ab8b%3Ag%3ApOEAAOSwZERj1Ch2&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDzuAYchGrWYKmOse2TdIompQrl349pe%2BpqtIFyqcltzq6QyJUxU0WnnzkzHODrRyGzdXsTmwkZGQsfE5xm2GEtd9PRbMPUbY7evwd1n5IaoPjhk4j4SX39tsd4imi3Q%2BmJnWlyty7XyQNr6jI32qsjmZF9G28aU5O%2B45Gq6shGC4JBgpGvOMXcF01gBEYdZpiIH%2FRmoR6UMqyEzoCAGGNt0Z7aYkFdG16yrSigVjYeGQ2ZsHVTPF63S0ChJvfeero%3D%7Ctkp%3ABk9SR97At4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"BOTTEGA VENETA Mini Arco Tote Bag COLOR PORRIDGE INTERRACIO LEATHER ""NO POCKET""
Opens in a new window or tab",1250.0,2026-02-21,https://www.ebay.com/itm/267391519247?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW139X7VSS4ZYRGBDSWG&hash=item3e41c6ca0f%3Ag%3AnWMAAeSwL61ouiDZ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDoQvNet%2BzV2flJNwpnfeyMxF0VqdWVPrXfWXoPrV71crIgVpNtj0nephefcWjLSNSx8PfqvpznxaiGTWuvocTbUQo%2B1eYPHbA45qesgwMkzu8T5ZQEmia19xC2%2FiqvBmCOVIk395bxsuuI4xWppmkif4UmpC1nPQ%2Bcb%2FpLS3kMJ10zDSwy5UP%2F6dWmhsYAHIUjPnXfw8xRaON4Wkugx3K3FL5Ew1BVHpXYr4oZw17QMX1OqGr873MBuY4E6tpNh04%2BYiQnLohuKcn2MHAwrKWc%2Bmsr94Xv9GdxrGXrK5T6HQ%3D%3D%7Ctkp%3ABk9SR97At4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"BOTTEGA VENETA ANDIAMO CLUTCH in BLACK
Opens in a new window or tab",3000.0,2026-02-12,https://www.ebay.com/itm/198042430327?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW1384EPDJ4V7QXMQBWW&hash=item2e1c3fab77%3Ag%3AkVIAAeSwqghpcCcB&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xBeuagazN8n9BgUK6PhfR1t2E7XVcme3%2FOUH%2F%2B7OgN6kmyEaeQIf8rinsYd78BJOTaLY5owkPiWwWZHRWtWhrQZhu3r4pM5ZuVusy3tcit3r%2FU7WOg1BcsUjXBYBTa1OkcTC%2FHO1ojXwSr5xI3iQ0J55jz0a1CgzFxTCeZJZTHFYLujnHSyxW19oHMjGZGa9Pq5J0yGVIFzMGxN4WZjMiE5dnzVwZNDLu%2BOApECV9e43gLjZl7rzxxmounMaKeWMgA%3D%7Ctkp%3ABk9SR-DAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta The Zebra Chain Pouch BV5-71525 Black Leather Shoulder Handbag
Opens in a new window or tab",1099.0,2026-02-11,https://www.ebay.com/itm/127670300449?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW14TEN4TQ53C7AB9DDT&hash=item1db9be2f21%3Ag%3AGioAAeSw61BphpUC&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCIVYZaHbCX02hq5ILgoVGH%2FZjUgs5VSh5mBPJ8DK98c1YKxWnx%2BuTsIis3AL3DSYcHjfIr5aOsg9y7Z%2FBOyvEiBDBhfRFfySLySefJjmNnsn3nQ%2Ficw9IjoUMf9sCFJGdK6hREhaWCIsjJ1DXTTGOCOR9wpkg1h2oTRZpopC4egw0C6gzBaxacQgt84Rj5Dih4l3O0aIyPLaXVRDR0%2BhfpmkT34uONKzHmZ30m%2F0%2FCvI8%2B5ahS7d0RM1wQV5Ua5LP9uUT89%2FOCdDKOrHXh0CxZRpT3nBsG40TRofInNFYEIQ%3D%3D%7Ctkp%3ABk9SR-LAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta Long Andiamo Intrecciato Leather Clutch Bag in Black E-3
Opens in a new window or tab",2500.0,2026-02-11,https://www.ebay.com/itm/257285742946?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW14CP7AS6B1RMD1PVH3&hash=item3be76ce162%3Ag%3AW10AAeSwNzNpVFdf&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAkzOeKndeUbp2EWOqrxBRiZBLIPpv7HhxDYt3LtK1%2B4L7ILo9czA58Q7OC647YwnbYD9lZXo4rJ22YJ7HKg5hJgEO6UvU%2FRBqELK%2By7AI3rtdBsCIf%2FDM0q6XdJrhIxwgJF%2FGeSPMuOlghm%2BIRyN8bsY8KYT4hfzit4u6fVUx%2BekQ1tplNHNq2E4dCJxYZF5I%2FkT%2BxydqMYveB7syLLYO%2BR5htu9l1U2w75UE1roGKhKYFhEnGedsHi%2F9veUnAzi0%3D%7Ctkp%3ABk9SR-LAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"BOTTEGA VENETA Intrecciato mini pouch bordeaux AUTHENTIC Used, GREAT CONDITION
Opens in a new window or tab",1045.0,2026-02-06,https://www.ebay.com/itm/336170017601?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW14NMDK4KFW64K8YV24&hash=item4e454b6341%3Ag%3AEC0AAeSwzTlop3pG&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD6sMcl5dpXpUfiA0xEsMbKHxbfbiDAzOpf6fqWZJUCdP%2BWeYTCV4YNjj26M0QBpYPcEQRd%2B7qEqa31LulqGQVtQ%2BO62sCKwY%2BJfJxlV9lIyIwCEuXkjwkSWnzM3y0hg7SIMQLnUTWv6ZBKj2JnsN9MIwqzntlqy8QkG2U7uM2kdsW%2Fp2IrHcFfhpkjeXAypnDySHp2ZwvAL3R7GP4k0ceMYtiur%2BKXBOOkixnx12%2Bh5v4RnI31lkiyei2Wt0jeyoU%3D%7Ctkp%3ABk9SR-TAt4uXZw&LH_ItemCondition=3000,2026-03-04
Bottega Veneta Pouch,"Bottega Veneta Nappa Intrecciato Leather Woven Mini Pouch Crossbody Bag Yellow
Opens in a new window or tab",1018.3,2026-02-06,https://www.ebay.com/itm/197860657660?_skw=Bottega+Veneta+Pouch&itmmeta=01KJWBDW15ESDJB054BTGHTJ7J&hash=item2e116a09fc%3Ag%3AHDQAAeSw7TppF6Q9&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBVqq4hMnFdhmM2VgGP08%2BqXSO%2BcdPZzOwTy5Uya18jEDZmN10coqa8BIWknGa21PW7LFv%2BAfTPW3w%2B%2Bz5zD%2B0g%2BWd66MQzG8IcFqj%2FEWzxeKt4DXPhsJJq8q3GcI7EVRdSJddMAXrliyOQH%2BhmPYPJisJxd7xemSKujjrCic55hVPwNqsLKOeyhHqwLBy7Fj2PzgPcNvUvN4AGuANu%2FR7SLdRrl0psAhB2IIJcFgmWzaJcgtoKI9WEviBw1dC1hm1GR9j1koFQ%2Bmjvv7YyW4AarLl4LgTcIdkog6GHFqFV7A%3D%3D%7Ctkp%3ABk9SR-TAt4uXZw&LH_ItemCondition=3000,2026-03-04
