month,bag_query,avg_resale_price,sales_volume,min_price,max_price,search_index,yt_total_views,yt_total_likes,yt_video_count,yt_avg_views,tt_total_plays,tt_total_likes,tt_video_count,tt_avg_plays,ig_total_likes,ig_total_comments,ig_post_count,ig_avg_likes
2025-08-01,Bottega Veneta Pouch,,,,,0.11,37610939.0,517981.0,11.0,3419176.272727273,2062700.0,140647.0,10.0,206270.0,13280.0,181.0,5.0,2656.0
2025-09-01,Bottega Veneta Pouch,,,,,0.11,24365066.0,90825.0,20.0,1218253.3,761400.0,55461.0,7.0,108771.42857142857,73985.0,1703.0,11.0,6725.909090909091
2025-10-01,Bottega Veneta Pouch,,,,,0.13,2789095.0,15659.0,15.0,185939.66666666666,759563.0,105946.0,6.0,126593.83333333333,64361.0,4132.0,8.0,8045.125
2025-11-01,Bottega Veneta Pouch,1600.0,7.0,1600.0,1600.0,0.13,968840.0,1476.0,10.0,96884.0,2126962.0,149058.0,11.0,193360.18181818182,3.0,0.0,2.0,1.5
2025-12-01,Bottega Veneta Pouch,1800.0,4.0,1630.0,2200.0,0.1,9032.0,259.0,5.0,1806.4,762084.0,63720.0,7.0,108869.14285714286,16096.0,288.0,9.0,1788.4444444444443
2026-01-01,Bottega Veneta Pouch,2420.3333333333335,3.0,2300.0,2625.0,0.09,447273.0,12829.0,7.0,63896.142857142855,1329549.0,130906.0,12.0,110795.75,112155.0,1509.0,11.0,10195.90909090909
2026-02-01,Bottega Veneta Pouch,2333.3333333333335,3.0,1500.0,3000.0,0.14,689793.0,1309.0,6.0,114965.5,3498866.0,481050.0,25.0,139954.64,72236.0,1943.0,20.0,3611.8
2026-03-01,Bottega Veneta Pouch,,,,,,91430.0,6472.0,6.0,15238.333333333334,601864.0,171385.0,22.0,27357.454545454544,13018.0,309.0,15.0,867.8666666666667
2025-08-01,Chanel Classic Flap,3382.383333333333,3.0,2733.0,4550.0,0.7352941176470589,210421.0,2883.0,10.0,21042.1,2360000.0,110760.0,7.0,337142.85714285716,9255.0,258.0,6.0,1542.5
2025-09-01,Chanel Classic Flap,,,,,0.6764705882352942,16583.0,311.0,4.0,4145.75,1269066.0,24636.0,7.0,181295.14285714287,2203.0,174.0,8.0,275.375
