week,bag_query,avg_resale_price,median_resale_price,sales_volume,search_index,yt_total_views,yt_total_likes,yt_video_count,tt_total_plays,tt_total_likes,tt_video_count,ig_total_likes,ig_total_comments,ig_post_count,ig_avg_likes,retail_price,resale_premium,search_index_lag1,tt_total_plays_lag1,yt_total_views_lag1,ig_total_likes_lag1
2023-01-16,Bottega Veneta Pouch,,,,0.6470588235294118,2299594.0,75304.0,3.0,221600.0,,,712.0,,,,4200,,0.661764705882353,221600.0,14797.5,712.0
2023-01-30,Bottega Veneta Pouch,,,,0.07,9397.0,97.0,2.0,221600.0,,,712.0,,,,4200,,0.661764705882353,221600.0,2299594.0,712.0
2023-02-06,Bottega Veneta Pouch,,,,0.07,9397.0,,,221600.0,,,16638.0,127.0,3.0,5546.0,4200,,0.07,221600.0,9397.0,712.0
2023-02-20,Bottega Veneta Pouch,,,,0.07,198863.0,4379.0,2.0,221600.0,,,16638.0,,,,4200,,0.07,221600.0,9397.0,16638.0
2023-02-27,Bottega Veneta Pouch,,,,0.06,198863.0,,,107600.0,1299.0,2.0,289.0,24.0,1.0,289.0,4200,,0.07,221600.0,198863.0,16638.0
2023-03-06,Bottega Veneta Pouch,,,,0.06,897.0,7.0,1.0,107600.0,,,289.0,,,,4200,,0.06,107600.0,198863.0,289.0
2023-03-13,Bottega Veneta Pouch,,,,0.06,897.0,,,107600.0,,,53.0,4.0,1.0,53.0,4200,,0.06,107600.0,897.0,289.0
2023-03-20,Bottega Veneta Pouch,,,,0.06,13780.0,155.0,4.0,107600.0,,,53.0,,,,4200,,0.06,107600.0,897.0,53.0
2023-03-27,Bottega Veneta Pouch,,,,0.09,911.0,14.0,1.0,107600.0,,,22.0,3.0,1.0,22.0,4200,,0.06,107600.0,13780.0,53.0
2023-04-03,Bottega Veneta Pouch,,,,0.09,75214.0,4079.0,1.0,107600.0,,,22.0,,,,4200,,0.09,107600.0,911.0,22.0
2023-04-10,Bottega Veneta Pouch,,,,0.09,389.0,3.0,1.0,27000.0,141.0,1.0,22.0,,,,4200,,0.09,107600.0,75214.0,22.0
2023-04-24,Bottega Veneta Pouch,,,,0.09,389.0,,,11100.0,179.0,1.0,22.0,,,,4200,,0.09,27000.0,389.0,22.0
2023-05-01,Bottega Veneta Pouch,,,,0.08,3417.0,68.0,1.0,11100.0,,,22.0,,,,4200,,0.09,11100.0,389.0,22.0
2023-05-22,Bottega Veneta Pouch,,,,0.08,3417.0,,,89800.0,514.0,1.0,22.0,,,,4200,,0.08,11100.0,3417.0,22.0
2023-05-29,Bottega Veneta Pouch,,,,0.08,3417.0,,,89800.0,,,22.0,,,,4200,,0.08,89800.0,3417.0,22.0
2023-06-19,Bottega Veneta Pouch,,,,0.08,60803.0,654.0,1.0,89800.0,,,22.0,,,,4200,,0.08,89800.0,3417.0,22.0
2023-06-26,Bottega Veneta Pouch,,,,0.08,60803.0,,,89800.0,,,22.0,,,,4200,,0.08,89800.0,60803.0,22.0
2023-07-10,Bottega Veneta Pouch,,,,0.08,147385.0,3292.0,1.0,89800.0,,,22.0,,,,4200,,0.08,89800.0,60803.0,22.0
2023-07-17,Bottega Veneta Pouch,,,,0.08,115069.0,1398.0,2.0,89800.0,,,22.0,,,,4200,,0.08,89800.0,147385.0,22.0
