"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","collectCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/f9b0fe0a2fa64205645082295d3abbe6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=58920311&x-expires=1772791200&x-signature=BRvTut3piTs9xOFq6TjkYKKjGSM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","foreignobjects","Here’s how to spot a fake Chanel classic flap👀 #greenscreen #chanel #fyp #chanelbag #prelovedluxury #designerbags #vintagefashion #luxurylife #pursetok #chanelclassic #vintagedesigner ","2510","236","116800","25","1765","78","original sound","Foreign Objects","true","2025-09-19T21:09:17.000Z","https://www.tiktok.com/@foreignobjects/video/7551910338682162446"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/821f2d2c336c5e77db63f7423f293e02~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=3c9e6d29&x-expires=1772791200&x-signature=kgSI5JcyMArgBrHSj%2FRlOj34aNs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","luxecollective","Real vs Super Fake Chanel Classic Flap bag 🧐","39000","2103","1800000","674","9215","23","original sound","FASHIONPHILE COLLECTIVE","true","2023-11-09T16:08:43.000Z","https://www.tiktok.com/@luxecollective/video/7299494988373560608"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/17b778d0d64434633bcfcc5361e6b8ae~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f20d924b&x-expires=1772791200&x-signature=1aIJhwJgZpZqmmyfkb76QGUJoHU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","emmarose188_","I decided to do an updated version #chanel #chanelclassicflap #chanelclassic #chanelcollection #chanelbag #pursecollection #bagcollection ","83600","3728","1000000","504","5175","23","designer handbag collection","kelsey kotzur","true","2024-06-04T17:52:39.000Z","https://www.tiktok.com/@emmarose188_/video/7376707491205319982"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/0beacbf15d4b928aa66b32b2a841c008~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0ba48a99&x-expires=1772791200&x-signature=WrEtJfWnC06Sp5i5OGT5ZrbCjEQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","annasjalin","I think we buy? #chanel #vintagechanel #classicflapbag #luxurybag ","1762","103","145800","17","398","6","Im In Love Im Obsessed Rihanna x Casa Di Remix","CasaDi","true","2024-07-03T21:11:50.000Z","https://www.tiktok.com/@annasjalin/video/7387520289598377249"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/4ffa44fab7640c40c1c30ab1c783b788~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=642fbd05&x-expires=1772791200&x-signature=gs0xxSDcS1DYP5yl0wuneOg%2B6BM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","alexisoakleyy","She’s beautiful!!! 🥹🥹🥹 #chanel #classicflap #parisshopping #gallerieslafayette #shoppingvlog ","54400","2023","743300","327","3597","52","original sound","alexis oakley","true","2025-11-26T20:22:36.000Z","https://www.tiktok.com/@alexisoakleyy/video/7577132061165686046"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/68b53f14773a28632ecedfe4f8c07eb2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ffb65c24&x-expires=1772791200&x-signature=pNzrD0eeDfvH5CV6FCoPrLrhYyw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","themominstyle","What are your thoughts? Personally, Twinning is winning 🫶🏻❤️ #chanel #classicflap #chanelbag #chaneladdict ","1468","97","40100","513","114","59","original sound","TheMomInStyle 🗝️","true","2024-10-05T17:41:32.000Z","https://www.tiktok.com/@themominstyle/video/7422348096853740846"
"https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c6edc0c06c57f6b06ec18e5734c55ca7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2e2bb1db&x-expires=1772791200&x-signature=chA7wFLN7qhPMMavwGAtZM%2BqCKM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","amusedco","وصلتنا شنطتين كلاسيك فلاب عشان نتأكد من أصالتها، ووحدة منهم طلعت تقليد! 
تقدروا تخمنوا ايت فيهم الأصلية؟ 🧐

We got two CHANEL classic flap bags to authenticate, and one of them turned out to be fake! 
Can you guess which one is the real thing?🧐

#amusedco #shopamused #chanel #prelovedfashion #saudiarabia #jeddah ","1005","216","375900","36","715","41","original sound","AMUSED","true","2024-05-05T17:02:56.000Z","https://www.tiktok.com/@amusedco/video/7365562122857680136"
"https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/e80a49f8a3d9b243c34c51e0c13153e7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=3713bcfa&x-expires=1772791200&x-signature=5NKy6I2ZU50CwIbJYHOYe4yKLSs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","ajawin","Replying to @Raya Hoffman a chanel classic flap discussion! @ChanelOfficial #chanelbag #chanelclassic #fyp #foryou ","9414","646","126700","225","936","476","original sound","Aja Win","true","2025-08-24T22:19:10.000Z","https://www.tiktok.com/@ajawin/video/7542280104001539358"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5467710b83467778a093b0125cc4d253~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=03ea3ece&x-expires=1772791200&x-signature=Ix%2BBLw8vSx7jBU9T4CwRSBwI7mw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","luxe_cheshire","Ladies & Gents if you’re paying those prices, lets learn how to store them properly🤫😅 #fyp #foryoupage #designer #chanel #chanelclassicflap ","459","69","62200","7","282","64","original sound","Luxe_Cheshire","true","2024-04-07T16:10:16.000Z","https://www.tiktok.com/@luxe_cheshire/video/7355158155690642720"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/925dbac139f4df26f3477d36b5a538e0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e84f3cbe&x-expires=1772791200&x-signature=r2FFczi6AL3EsjKOscEeFp0AzkI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","fancyfootework","chanel classic flap - my first chanel bag 🖤 medium chanel classic flap with gold hardware #creatorsearchinsights chanel flap bag","4558","240","242100","93","814","166","original sound","Alexandra Foote","true","2024-07-24T02:41:23.000Z","https://www.tiktok.com/@fancyfootework/video/7395026919785237803"
