video_id,title,channel,published_at,view_count,like_count,comment_count,url,bag_query,scraped_at
kmsKsdH1lvU,Bottega Veneta Winter 2026 Show,Bottega Veneta,2026-03-04 08:32:12+00:00,306,0,0,https://www.youtube.com/watch?v=kmsKsdH1lvU,Bottega Veneta Pouch,2026-03-04
7pPr1C95Auc,Kiara Advani carrying Bottega Veneta Campana Bag worth ₹4.17 Lakh😱🔥 #filmfashionfitness,Flim Fashion Fitness,2026-03-03 19:24:22+00:00,8173,256,5,https://www.youtube.com/watch?v=7pPr1C95Auc,Bottega Veneta Pouch,2026-03-04
sk1WimyIOQM,Bottega Veneta Winter 2026 Show,Bottega Veneta,2026-03-03 08:40:38+00:00,1652,0,0,https://www.youtube.com/watch?v=sk1WimyIOQM,Bottega Veneta Pouch,2026-03-04
7BWpvr5DCjo,Bottega Veneta Winter 2026 Show,Bottega Veneta,2026-03-02 17:13:03+00:00,2005,0,0,https://www.youtube.com/watch?v=7BWpvr5DCjo,Bottega Veneta Pouch,2026-03-04
MFDI9GEpM0E,Bottega Veneta Winter 2026 Show,Bottega Veneta,2026-03-02 14:00:40+00:00,2492,0,0,https://www.youtube.com/watch?v=MFDI9GEpM0E,Bottega Veneta Pouch,2026-03-04
1twr2qIAkdM,Bottega Veneta🧶 fall 2026 review #fashionnews #bottegaveneta #luxury,John Villa,2026-03-01 02:34:34+00:00,76802,6216,179,https://www.youtube.com/watch?v=1twr2qIAkdM,Bottega Veneta Pouch,2026-03-04
jOD5jircMko,Bottega Veneta Winter 2026 Show,Bottega Veneta,2026-02-28 19:45:33+00:00,609769,0,57,https://www.youtube.com/watch?v=jOD5jircMko,Bottega Veneta Pouch,2026-03-04
OIe297Uz8wY,Introducing Bottega Veneta Winter 2026,Bottega Veneta,2026-02-25 09:00:14+00:00,3797,0,2,https://www.youtube.com/watch?v=OIe297Uz8wY,Bottega Veneta Pouch,2026-03-04
WniUy09G37U,Introducing Bottega Veneta Winter 2026,Bottega Veneta,2026-02-25 09:00:09+00:00,10685,0,1,https://www.youtube.com/watch?v=WniUy09G37U,Bottega Veneta Pouch,2026-03-04
SZRV1Ba3VM0,Bottega Veneta Summer 2026 Campaign,Bottega Veneta,2026-02-18 14:09:10+00:00,1048,0,0,https://www.youtube.com/watch?v=SZRV1Ba3VM0,Bottega Veneta Pouch,2026-03-04
0gX_ib7TZu4,7 BEST & WORST Designer Bags To Buy If You’re OVER 50,Elvira Hartwell,2026-02-03 16:17:32+00:00,37391,451,42,https://www.youtube.com/watch?v=0gX_ib7TZu4,Bottega Veneta Pouch,2026-03-04
It-ScG7djxE,"The Luxury ""IT BAGS"" of 2026 | Worth it or overhyped? *My Honest Opinions*",Je suis Lou,2026-02-01 12:00:35+00:00,27103,858,67,https://www.youtube.com/watch?v=It-ScG7djxE,Bottega Veneta Pouch,2026-03-04
NKe-O3bYP2A,Bottega Veneta Small Andiamo Review (Pros & Cons + Wear & Tear After Almost 2 Years)!,Michelle Orgeta,2026-01-30 00:59:32+00:00,984,25,10,https://www.youtube.com/watch?v=NKe-O3bYP2A,Bottega Veneta Pouch,2026-03-04
-ufFlkWUhks,"2025 Designer Bags: The Good, The Bad & The Overhyped",Tamara Kalinic,2026-01-21 19:00:00+00:00,99710,2553,289,https://www.youtube.com/watch?v=-ufFlkWUhks,Bottega Veneta Pouch,2026-03-04
RtBUGjrW79I,I Ranked Every Major Luxury Brand After Cutting Them Open,Tanner Leatherstein,2026-01-16 19:00:25+00:00,336529,10056,1904,https://www.youtube.com/watch?v=RtBUGjrW79I,Bottega Veneta Pouch,2026-03-04
Nl44DxzvpFM,Bottega Veneta Small Andiamo Honest Review | Wear & Tear | What Fits | Mod shots| Everything to Know,Heart Mumblr,2026-01-16 12:45:02+00:00,1763,53,27,https://www.youtube.com/watch?v=Nl44DxzvpFM,Bottega Veneta Pouch,2026-03-04
bTjobB_bjgY,Why I Sold My Bottega Veneta Andiamo Bag After 6 Months,Fashion Afternoon Tea,2026-01-12 12:19:36+00:00,7116,104,32,https://www.youtube.com/watch?v=bTjobB_bjgY,Bottega Veneta Pouch,2026-03-04
Ys2txPphR_w,"Bottega Veneta Ciao Ciao Review 👜✨ | Honest Thoughts, Wear & Tear, Pros & Cons, Mod Shots, What Fits",Jamie at LuxPetite,2026-01-11 15:01:04+00:00,641,28,10,https://www.youtube.com/watch?v=Ys2txPphR_w,Bottega Veneta Pouch,2026-03-04
pGcVJkvH2_Q,BOTTEGA VENETA HAUL + UNBOXING ⚜️ | Johor Premium outlet vlog,H a l c y o n m a e ,2026-01-06 10:00:06+00:00,530,10,3,https://www.youtube.com/watch?v=pGcVJkvH2_Q,Bottega Veneta Pouch,2026-03-04
pmdOCPBWkRU,Luxury Birthday Unboxing: Cartier Love Bracelet & Bottega Veneta Wallace Bag,All Things Nawni,2025-12-30 19:08:16+00:00,1012,45,7,https://www.youtube.com/watch?v=pmdOCPBWkRU,Bottega Veneta Pouch,2026-03-04
iGPYt4y-Z_w,Bottega Veneta Concert Pouch Unboxing 💚 #blackgirlluxurytiktok #unboxing,SoGwenLifestyle,2025-12-24 11:02:51+00:00,520,0,0,https://www.youtube.com/watch?v=iGPYt4y-Z_w,Bottega Veneta Pouch,2026-03-04
9DhOeLer3LI,Bottega Veneta Spring/Summer 2024 Fashion Show | Milan Fashion Week,Brandibay Fashion,2025-12-17 18:05:30+00:00,377,15,0,https://www.youtube.com/watch?v=9DhOeLer3LI,Bottega Veneta Pouch,2026-03-04
-1XS26RHLM0,Bottega Veneta Mini Pouch Review,Armcandy Bag Co,2025-12-12 10:00:00+00:00,407,4,0,https://www.youtube.com/watch?v=-1XS26RHLM0,Bottega Veneta Pouch,2026-03-04
oLulWlkJdOg,Is Bottega's MUST-HAVE Hop Bag Worth It?,Handbagholic,2025-12-05 10:39:41+00:00,6716,195,18,https://www.youtube.com/watch?v=oLulWlkJdOg,Bottega Veneta Pouch,2026-03-04
bO52CTd8dIk,Bottega Veneta Concert pouch intrecciato leather shoulder bag.,Fashion Girl,2025-11-27 10:10:52+00:00,875,4,0,https://www.youtube.com/watch?v=bO52CTd8dIk,Bottega Veneta Pouch,2026-03-04
PUwkrdNa1UM,IT'S HERE! Bottega Veneta RELAUNCHED ITS CLASSIC BAG - THE VENETA BAG | Luxe Chit Chat | KAT L,Kat L,2025-11-24 22:00:33+00:00,2865,83,44,https://www.youtube.com/watch?v=PUwkrdNa1UM,Bottega Veneta Pouch,2026-03-04
z1HRCjI-2WM,Bottega Veneta’s High Perfumery Collection – Are These Really Worth $400+?!,Cubaknow,2025-11-24 17:01:10+00:00,2498,127,15,https://www.youtube.com/watch?v=z1HRCjI-2WM,Bottega Veneta Pouch,2026-03-04
TgMnL1wYwbE,Are Bottega Bags Worth It? My Thoughts After Owning 9,Handbagholic,2025-11-24 15:44:49+00:00,23683,592,56,https://www.youtube.com/watch?v=TgMnL1wYwbE,Bottega Veneta Pouch,2026-03-04
Mg4GWQTIO90,Bottega Veneta NEW ARRIVALS: The Bags You Need To See!✨,Carolina Oliveira,2025-11-19 16:00:36+00:00,1091,23,2,https://www.youtube.com/watch?v=Mg4GWQTIO90,Bottega Veneta Pouch,2026-03-04
_V-H7aUskMc,The 10 Best Everyday Designer Bags for 2026,Luxfy,2025-11-16 13:01:12+00:00,51190,574,13,https://www.youtube.com/watch?v=_V-H7aUskMc,Bottega Veneta Pouch,2026-03-04
mKxDUi0qT74,Subtle Luxury | Bottega Veneta Fall/Winter 2025–2026 Cozy Chic Essentials,Milea Fashion,2025-11-04 22:02:35+00:00,2482,62,3,https://www.youtube.com/watch?v=mKxDUi0qT74,Bottega Veneta Pouch,2026-03-04
RRS5uMnCNrY,Bottega Veneta Andiamo Clutch | Unboxing & Review,Stasie Luxe,2025-11-03 20:23:55+00:00,513,11,4,https://www.youtube.com/watch?v=RRS5uMnCNrY,Bottega Veneta Pouch,2026-03-04
MajDkVy3ImE,What are Dreams by Bottega Veneta,Bottega Veneta,2025-11-03 14:32:07+00:00,469255,0,11,https://www.youtube.com/watch?v=MajDkVy3ImE,Bottega Veneta Pouch,2026-03-04
XE65okUGlsA,What are Dreams by Bottega Veneta,Bottega Veneta,2025-11-03 14:31:59+00:00,414388,0,1,https://www.youtube.com/watch?v=XE65okUGlsA,Bottega Veneta Pouch,2026-03-04
9aG4F0X0j7M,I Said I'd Never Buy This Bag,Handbagholic,2025-10-31 10:00:24+00:00,33798,1076,82,https://www.youtube.com/watch?v=9aG4F0X0j7M,Bottega Veneta Pouch,2026-03-04
X0vmEHpSIiE,Bottega Veneta Large Hop Bag Review,In Corso ,2025-10-24 16:16:41+00:00,3649,59,1,https://www.youtube.com/watch?v=X0vmEHpSIiE,Bottega Veneta Pouch,2026-03-04
qoK8GlLNdCE,Unboxing my new Bottega Jodie bag with me for spring 🥰 Soo fine ❤️ link on bio 😘,Sophie finds,2025-10-14 14:30:48+00:00,539,5,0,https://www.youtube.com/watch?v=qoK8GlLNdCE,Bottega Veneta Pouch,2026-03-04
